,都道府県名,市町村名,条例名,提案主体,"原案
可決","修正
可決",議決年月日,施行年月日,備考,和暦年,和暦月,jyorei_nendo,jyorei_year,time_pm
0,北海道,旭川市,旭川市地酒の普及の促進に関する条例,議員,○,,25.12.18,25.12.18,,25,12,2013.0,2013,北海道旭川市
1,北海道,芦別市,芦別市再生可能エネルギー利用促進条例,議員,○,,26.3.19,26.4.1,,26,3,2013.0,2014,北海道芦別市
2,北海道,富良野市,富良野市まずはふらのワインで乾杯条例,議員,○,,25.12.13,25.12.13,,25,12,2013.0,2013,北海道富良野市
3,北海道,登別市,登別市中小企業地域経済振興基本条例,議員,○,,25.6.25,25.7.4,,25,6,2013.0,2013,北海道登別市
4,北海道,北広島市,北広島市資源ごみ等持ち去り防止に関する条例,議員,○,,26.2.21,26.11.1,,26,2,2013.0,2014,北海道北広島市
5,北海道,増毛町,増毛町乾杯条例,議員,○,,26.3.13,26.4.1,,26,3,2013.0,2014,北海道増毛町
6,北海道,羽幌町,羽幌町の地域医療を守る条例,委員会,○,,25.6.14,25.6.18,,25,6,2013.0,2013,北海道羽幌町
7,青森県,青森市,青森市中小企業振興基本条例,議員,○,,24.6.26,24.6.26,,24,6,2012.0,2012,青森県青森市
8,岩手県,盛岡市,盛岡市地元酒等による乾杯の推進に関する条例,議員,○,,26.3.13,26.3.13,,26,3,2013.0,2014,岩手県盛岡市
9,宮城県,仙台市,仙台市空き家等の適正管理に関する条例,議員,○,,25.12.17,26.4.1,,25,12,2013.0,2013,宮城県仙台市
10,宮城県,白石市,"うーめん
奥州白石温面振興条例",議員,○,,26.3.3,26.3.3,,26,3,2013.0,2014,宮城県白石市
11,秋田県,秋田市,秋田市民の心といのちを守る自殺対策条例,議員,○,,25.9.30,26.4.1,,25,9,2013.0,2013,秋田県秋田市
12,秋田県,横手市,"横手市「スポーツ立市よこて」でまちを元気にす
る条例",議員,○,,25.3.21,25.3.22,,25,3,2012.0,2013,秋田県横手市
13,秋田県,大館市,秋田杉の器で地酒による乾杯を推進する条例,議員,○,,26.2.25,26.3.17,,26,2,2013.0,2014,秋田県大館市
14,山形県,山形市,山形市日本酒で乾杯を推進する条例,委員会,○,,26.2.27,26.2.27,,26,2,2013.0,2014,山形県山形市
15,山形県,寒河江市,さがえ産の酒で乾杯を推進する条例,議員,○,,26.3.7,26.3.19,,26,3,2013.0,2014,山形県寒河江市
16,山形県,上山市,かみのやま産のワインによる乾杯を推進する条例,議員,○,,26.3.17,26.3.17,,26,3,2013.0,2014,山形県上山市
17,山形県,村山市,村山市交通安全条例（改正）,議員,○,,24.12.14,24.12.25,,24,12,2012.0,2012,山形県村山市
18,山形県,天童市,天童市地元産酒等による乾杯を推進する条例,委員会,○,,26.3.20,26.3.24,,26,3,2013.0,2014,山形県天童市
19,山形県,河北町,河北町の日本酒による乾杯を推進する条例,委員会,○,,26.3.14,26.4.1,,26,3,2013.0,2014,山形県河北町
20,山形県,川西町,川西町地酒による乾杯を推進する条例,議員,○,,26.3.19,26.4.1,,26,3,2013.0,2014,山形県川西町
21,福島県,天栄村,天栄村清酒で乾杯を促進する条例,議員,○,,25.12.12,25.12.30,,25,12,2013.0,2013,福島県天栄村
22,福島県,南会津町,南会津町乾杯条例,委員会,○,,25.6.21,25.6.21,,25,6,2013.0,2013,福島県南会津町
23,福島県,南会津町,南会津町乾杯条例（改正）,委員会,○,,26.3.14,26.3.14,,26,3,2013.0,2014,福島県南会津町
24,福島県,金山町,名古屋市歯と口腔の健康づくり推進条例,議員,○,,25.3.22,25.3.29,,25,3,2012.0,2013,福島県金山町
25,福島県,金山町,名古屋市児童を虐待から守る条例,議員,○,,25.3.22,25.4.1,,25,3,2012.0,2013,福島県金山町
26,福島県,西郷村,村長等の給与及び旅費に関する条例（改正）,議員,○,,25.3.19,25.4.1,,25,3,2012.0,2013,福島県西郷村
27,福島県,西郷村,西郷村子ども診療所等誘致条例,委員会,○,,25.6.21,25.7.5,,25,6,2013.0,2013,福島県西郷村
28,福島県,西郷村,"西郷村放射能障害防止のための環境保全に関する
条例",議員,○,,25.6.21,25.7.5,,25,6,2013.0,2013,福島県西郷村
29,福島県,西郷村,村長等の給与及び旅費に関する条例（改正）,議員,○,,26.3.24,26.3.28,,26,3,2013.0,2014,福島県西郷村
30,茨城県,水戸市,水戸市地元酒等による乾杯の推進に関する条例,議員,○,,26.3.19,26.4.1,,26,3,2013.0,2014,茨城県水戸市
31,茨城県,日立市,日立市歯と口腔の健康づくり8020・6424推進条例,議員,○,,25.3.28,25.4.1,,25,3,2012.0,2013,茨城県日立市
32,茨城県,石岡市,「石岡の地酒」で乾杯を推進する条例,委員会,○,,26.3.20,26.3.20,,26,3,2013.0,2014,茨城県石岡市
33,茨城県,常総市,常総市文化芸術振興条例,議員,,○,24.6.12,25.4.1,,24,6,2012.0,2012,茨城県常総市
34,茨城県,笠間市,笠間市地酒を笠間焼で乾杯する条例,委員会,○,,25.12.19,25.12.19,,25,12,2013.0,2013,茨城県笠間市
35,栃木県,鹿沼市,鹿沼市歯と口腔の健康づくり推進条例,議員,○,,25.3.19,25.4.1,,25,3,2012.0,2013,栃木県鹿沼市
36,栃木県,大田原市,大田原市地酒の普及の促進に関する条例,議員,○,,25.12.19,26.1.1,,25,12,2013.0,2013,栃木県大田原市
37,栃木県,矢板市,矢板市産の飲料の普及促進に関する条例,議員,○,,26.3.20,26.4.1,,26,3,2013.0,2014,栃木県矢板市
38,群馬県,みなかみ町,みなかみ町アウトドアスポ－ツ振興条例,議員,○,,24.9.4,25.4.1,,24,9,2012.0,2012,群馬県みなかみ町
39,群馬県,邑楽町,"邑楽町長、副町長及び教育長の給与の特例に関す
る条例（改正）",議員,○,,26.3.19,26.3.19,,26,3,2013.0,2014,群馬県邑楽町
