,municipality,year,prefecture,city,population,salary_chairperson,salary_vicec,salary_council,city_dummy
0,0,2014,北海道,札幌市,1926287.0,1040000.0,950000.0,860000.0,1
1,0,2015,北海道,札幌市,1941832.0,1040000.0,950000.0,860000.0,1
2,0,2016,北海道,札幌市,1947494.0,1040000.0,950000.0,860000.0,1
3,0,2017,北海道,札幌市,1952348.0,1040000.0,950000.0,860000.0,1
4,0,2018,北海道,札幌市,1955457.0,1040000.0,950000.0,860000.0,1
5,0,2019,北海道,札幌市,1959313.0,1040000.0,950000.0,860000.0,1
6,1,2014,北海道,函館市,271479.0,630000.0,560000.0,510000.0,1
7,1,2015,北海道,函館市,268617.0,630000.0,560000.0,510000.0,1
8,1,2016,北海道,函館市,265503.0,630000.0,560000.0,510000.0,1
9,1,2017,北海道,函館市,262519.0,630000.0,560000.0,510000.0,1
10,1,2018,北海道,函館市,258948.0,630000.0,560000.0,510000.0,1
11,1,2019,北海道,函館市,258948.0,630000.0,560000.0,510000.0,1
12,2,2014,北海道,小樽市,124553.0,507300.0,457900.0,418950.0,1
13,2,2015,北海道,小樽市,122895.0,534000.0,482000.0,441000.0,1
14,2,2016,北海道,小樽市,120751.0,534000.0,482000.0,441000.0,1
15,2,2017,北海道,小樽市,118923.0,534000.0,482000.0,441000.0,1
16,2,2018,北海道,小樽市,116516.0,534000.0,482000.0,441000.0,1
17,2,2019,北海道,小樽市,114397.0,534000.0,482000.0,441000.0,1
18,3,2014,北海道,旭川市,347207.0,625000.0,555000.0,515000.0,1
19,3,2015,北海道,旭川市,345288.0,625000.0,555000.0,515000.0,1
20,3,2016,北海道,旭川市,342848.0,625000.0,555000.0,515000.0,1
21,3,2017,北海道,旭川市,340211.0,625000.0,555000.0,515000.0,1
22,3,2018,北海道,旭川市,337392.0,625000.0,555000.0,515000.0,1
23,3,2019,北海道,旭川市,334070.0,625000.0,555000.0,515000.0,1
24,4,2014,北海道,室蘭市,89512.0,480000.0,450000.0,415000.0,1
25,4,2015,北海道,室蘭市,88618.0,480000.0,450000.0,415000.0,1
26,4,2016,北海道,室蘭市,87180.0,480000.0,450000.0,415000.0,1
27,4,2017,北海道,室蘭市,85807.0,480000.0,450000.0,415000.0,1
28,4,2018,北海道,室蘭市,84405.0,480000.0,450000.0,415000.0,1
29,4,2019,北海道,室蘭市,82977.0,480000.0,450000.0,415000.0,1
30,5,2014,北海道,釧路市,177921.0,600000.0,540000.0,490000.0,1
31,5,2015,北海道,釧路市,176576.0,600000.0,540000.0,490000.0,1
32,5,2016,北海道,釧路市,174518.0,600000.0,540000.0,490000.0,1
33,5,2017,北海道,釧路市,172391.0,600000.0,540000.0,490000.0,1
34,5,2018,北海道,釧路市,170364.0,600000.0,540000.0,490000.0,1
35,5,2019,北海道,釧路市,168086.0,600000.0,540000.0,490000.0,1
36,6,2014,北海道,帯広市,168753.0,580000.0,510000.0,470000.0,1
37,6,2015,北海道,帯広市,168539.0,580000.0,510000.0,470000.0,1
38,6,2016,北海道,帯広市,168096.0,580000.0,510000.0,470000.0,1
39,6,2017,北海道,帯広市,167653.0,580000.0,510000.0,470000.0,1
40,6,2018,北海道,帯広市,166889.0,580000.0,510000.0,470000.0,1
41,6,2019,北海道,帯広市,166043.0,580000.0,510000.0,470000.0,1
42,7,2014,北海道,北見市,122198.0,500000.0,455000.0,430000.0,1
43,7,2015,北海道,北見市,121048.0,500000.0,455000.0,430000.0,1
44,7,2016,北海道,北見市,119978.0,500000.0,455000.0,430000.0,1
45,7,2017,北海道,北見市,118787.0,500000.0,455000.0,430000.0,1
46,7,2018,北海道,北見市,117806.0,500000.0,455000.0,430000.0,1
47,7,2019,北海道,北見市,116521.0,500000.0,455000.0,430000.0,1
48,8,2014,北海道,岩見沢市,86054.0,470000.0,415000.0,384000.0,1
49,8,2015,北海道,岩見沢市,84809.0,470000.0,415000.0,384000.0,1
50,8,2016,北海道,岩見沢市,83942.0,470000.0,415000.0,384000.0,1
51,8,2017,北海道,岩見沢市,82823.0,470000.0,415000.0,384000.0,1
52,8,2018,北海道,岩見沢市,81778.0,470000.0,415000.0,384000.0,1
53,8,2019,北海道,岩見沢市,80410.0,470000.0,415000.0,384000.0,1
54,9,2014,北海道,夕張市,9440.0,230000.0,200000.0,180000.0,1
55,9,2015,北海道,夕張市,9056.0,230000.0,200000.0,180000.0,1
56,9,2016,北海道,夕張市,8685.0,230000.0,200000.0,180000.0,1
57,9,2017,北海道,夕張市,8362.0,230000.0,200000.0,180000.0,1
58,9,2018,北海道,夕張市,8087.0,230000.0,200000.0,180000.0,1
59,9,2019,北海道,夕張市,7769.0,230000.0,200000.0,180000.0,1
60,10,2014,北海道,網走市,37530.0,471000.0,415000.0,380000.0,1
61,10,2015,北海道,網走市,37346.0,471000.0,415000.0,380000.0,1
62,10,2016,北海道,網走市,36907.0,471000.0,415000.0,380000.0,1
63,10,2017,北海道,網走市,36320.0,471000.0,415000.0,380000.0,1
64,10,2018,北海道,網走市,35701.0,471000.0,415000.0,380000.0,1
65,10,2019,北海道,網走市,35039.0,471000.0,415000.0,380000.0,1
66,11,2014,北海道,留萌市,22873.0,348500.0,306000.0,280500.0,1
67,11,2015,北海道,留萌市,22508.0,348500.0,306000.0,280500.0,1
68,11,2016,北海道,留萌市,22139.0,380000.0,340000.0,310000.0,1
69,11,2017,北海道,留萌市,21760.0,380000.0,340000.0,310000.0,1
70,11,2018,北海道,留萌市,21312.0,380000.0,340000.0,310000.0,1
71,11,2019,北海道,留萌市,20722.0,380000.0,340000.0,310000.0,1
72,12,2014,北海道,苫小牧市,174064.0,520000.0,480000.0,440000.0,1
73,12,2015,北海道,苫小牧市,173794.0,520000.0,480000.0,440000.0,1
74,12,2016,北海道,苫小牧市,173135.0,520000.0,480000.0,440000.0,1
75,12,2017,北海道,苫小牧市,172373.0,520000.0,480000.0,440000.0,1
76,12,2018,北海道,苫小牧市,171811.0,520000.0,480000.0,440000.0,1
77,12,2019,北海道,苫小牧市,171242.0,520000.0,480000.0,440000.0,1
78,13,2014,北海道,稚内市,36500.0,384460.0,348740.0,318660.0,1
79,13,2015,北海道,稚内市,36184.0,409000.0,371000.0,339000.0,1
