"指定年月日","2005-04-01"
"都道府県名","政令市 *","市 *","特別区","区","支庁・振興局等","郡","町 *","村 *","市町村計"
"全国","14","725","23","141","18","401","1,317","345","2,401"
"都道府県名","政令市 *","市 *","特別区","区","支庁・振興局等","郡","町 *","村 *","市町村計"
"01　北海道","1","33","0","10","14","0","150","29","213"
"02　青森県","0","9","0","0","0","8","27","11","47"
"03　岩手県","0","13","0","0","0","12","29","16","58"
"04　宮城県","1","12","0","5","0","12","31","1","45"
"05　秋田県","0","11","0","0","0","8","24","7","42"
"06　山形県","0","13","0","0","0","9","27","4","44"
"07　福島県","0","11","0","0","0","13","47","25","83"
"08　茨城県","0","26","0","0","0","13","27","9","62"
"09　栃木県","0","13","0","0","0","6","29","2","44"
"10　群馬県","0","11","0","0","0","12","27","20","58"
"11　埼玉県","1","39","0","10","0","9","39","6","85"
"12　千葉県","1","32","0","6","0","8","39","5","77"
"13　東京都","0","26","23","0","4","1","5","8","39"
"14　神奈川県","2","17","0","25","0","7","17","1","37"
"15　新潟県","0","20","0","0","0","11","21","10","51"
"16　富山県","0","10","0","0","0","4","9","2","21"
"17　石川県","0","10","0","0","0","7","12","0","22"
"18　福井県","0","8","0","0","0","11","16","4","28"
"19　山梨県","0","12","0","0","0","8","16","10","38"
"20　長野県","0","18","0","0","0","15","30","54","102"
"21　岐阜県","0","21","0","0","0","10","24","2","47"
"22　静岡県","1","23","0","3","0","11","32","1","57"
"23　愛知県","1","31","0","16","0","12","36","6","74"
"24　三重県","0","15","0","0","0","9","26","6","47"
"25　滋賀県","0","13","0","0","0","8","20","0","33"
"26　京都府","1","12","0","11","0","9","24","1","38"
"27　大阪府","1","32","0","24","0","5","9","1","43"
"28　兵庫県","1","27","0","9","0","13","32","0","60"
"29　奈良県","0","11","0","0","0","7","18","15","44"
"30　和歌山県","0","7","0","0","0","7","34","6","47"
"31　鳥取県","0","4","0","0","0","5","15","1","20"
"32　島根県","0","8","0","0","0","9","18","3","29"
"33　岡山県","0","14","0","0","0","13","18","2","34"
"34　広島県","1","14","0","8","0","7","14","0","29"
"35　山口県","0","13","0","0","0","7","19","1","33"
"36　徳島県","0","7","0","0","0","8","25","3","35"
"37　香川県","0","7","0","0","0","6","28","0","35"
"38　愛媛県","0","11","0","0","0","7","12","0","23"
"39　高知県","0","9","0","0","0","7","26","13","48"
"40　福岡県","2","24","0","14","0","15","53","6","85"
"41　佐賀県","0","8","0","0","0","7","23","4","35"
"42　長崎県","0","11","0","0","0","5","33","1","45"
"43　熊本県","0","14","0","0","0","10","43","11","68"
"44　大分県","0","12","0","0","0","5","11","2","25"
"45　宮崎県","0","9","0","0","0","8","28","7","44"
"46　鹿児島県","0","14","0","0","0","12","59","5","78"
"47　沖縄県","0","10","0","0","0","5","15","24","49"
