ele_ymd,election,prefecture,municipality,district,name_kanji,name_kana,age,gen,status,job,circle,win,n_votes,voting_ymd,year,month,day,kokuji_ymd,e_voting_rate,e_seats_target,e_n_candidates,e_competitive_ratio,e_all_voter,e_male_all_voter,e_female_all_voter,e_change_all_voter,e_reason,e_pre_v_rate,e_pre_seats_t,e_pre_n_cand,e_pre_compe_rate,d_voting_rate,d_seats_target,d_n_candidates,d_competitive_ratio,d_all_voter,d_male_all_voter,d_female_all_voter,d_change_all_voter,d_reason,d_pre_v_rate,d_pre_seats_t,d_pre_n_cand,d_pre_compe_rate
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,しげた 和三,シゲタ カズミ,68,男,現職,静岡市議会議員,自由民主党,True,5985.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,長島 ごう,ナガシマ ゴウ,47,男,現職,静岡市議会議員　公明党静岡県本部青年局次長,公明党,True,5835.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,福地 けん,フクチ ケン,44,男,現職,静岡市議会議員　社会福祉法人理事,自由民主党,True,5025.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,山本 あきひこ,ヤマモト アキヒコ,56,男,現職,静岡市議会議員　公明党静岡市議団代表,公明党,True,4965.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,浜田 ゆうすけ,ハマダ ユウスケ,39,男,新人,無職　立憲民主党 静岡県総支部連合会 静岡市政担当（葵区）,立憲民主党,True,4529.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,石上 けんたろう,イシガミ ケンタロウ,72,男,現職,静岡市議会議員,自由民主党,True,4463.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,まつや 清,マツヤ キヨシ,69,男,現職,静岡市議会議員　全国自治体議員立憲ネットワーク共同代表　南アルプスリニア市民ネット共同代表　他,緑の党 グリーンズジャパン,True,4410.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,丹沢 たかひさ,タンザワ タカヒサ,50,男,現職,静岡市議会議員,自由民主党,True,4362.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,すずき 和彦,スズキ カヅヒコ,75,男,現職,静岡市議会議員,自由民主党,True,4220.447,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,尾崎 ゆきお,オザキ ユキオ,59,男,現職,静岡市議会議員,自由民主党,True,3953.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,杉本 まもる,スギモト マモル,63,男,現職,静岡市議会議員,日本共産党,True,3787.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,井上 つねや,イノウエ ツネヤ,74,男,現職,静岡市議会議員,自由民主党,True,3786.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,安竹 のぶお,ヤスタケ ノブオ,74,男,現職,石油ガス販売業,無所属,True,3785.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,市川 正,イチカワ タダシ,72,男,新人,無職　静岡地区くらし福祉対策委員長,日本共産党,True,3454.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,白鳥 みのる,シラトリ ミノル,65,男,現職,静岡市議会議員,無所属,True,2818.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,天野 正剛,アマノ セイゴウ,54,男,新人,会社役員,無所属,True,2685.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,鈴木 なおと,スズキ ナオト,61,男,新人,一般社団法人国際情報普及協会理事,無所属,True,2662.436,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,中山 みちはる,ナカヤマ ミチハル,71,男,現職,静岡市議会議員,無所属,False,2658.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,彦一 ,ヒコ イチ,47,男,新人,菓子店「菓子や彦一」経営,無所属,False,2492.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,平島 まさじ,ヒラシマ マサジ,61,男,元職,行政書士,無所属,False,2167.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,遠藤 なおや,エンドウ ナオヤ,49,男,新人,会社員(株式会社運動会屋）　日本維新の会 静岡市政対策委員【葵区】,日本維新の会,False,1931.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,鈴木 まさひと,スズキ マサヒト,48,男,新人,NPO法人 今川さん製作委員会　理事長,無所属,False,1640.116,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 葵区選挙区,海野 ひろし,ウンノ ヒロシ,nan,nan,nan,派遣社員,無所属,False,414.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,39.48,17,23,1.3529411764705883,210899,100576,110323,-3388,任期満了,40.58,nan,nan,nan
静岡市議会議員選挙（2021年03月28日投票）,静岡市議会議員選挙,静岡県,静岡市, 駿河区選挙区,池谷 だいすけ,イケヤ ダイスケ,40,男,現職,静岡市議会議員,自由民主党,True,6040.0,20210328,2021,3,28,20210319,40.13,48,63,1.3125,581829,280880,300949,-10082,任期満了,nan,nan,nan,nan,37.82,14,18,1.2857142857142858,173103,84687,88416,-1177,任期満了,37.96,nan,nan,nan
