,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
0,北海道,北海道,1,2015,20150401,72269,43.3,3477,10336,15599,45.4,3315,10229,北海道,170716,151704,139258,3022,4024,10350,8800,11100,9900,8500,7650,18.4.1,23.8.1,18.4.1,都道府県
1,青森県,青森県,2,2015,20150401,19494,44.3,3547,9766,4359,43.7,3303,9241,青森県,174200,154800,142100,673,2350,10160,8730,8645,7776,7566,7380,27.4.1,27.4.1,27.4.1,都道府県
2,岩手県,岩手県,3,2015,20150401,24008,43.9,3575,9832,4709,44.0,3331,9281,岩手県,174200,154800,142100,1005,1198,10540,8640,8900,8000,7700,5299,27.4.1,26.4.1,27.4.1,都道府県
3,宮城県,宮城県,4,2015,20150401,27625,43.5,3600,10570,5947,42.3,3230,9683,宮城県,180800,160700,146500,1247,3169,12445,9792,10200,9100,8400,8342,27.4.1,18.4.1,27.4.1,都道府県
4,秋田県,秋田県,5,2015,20150401,14833,45.0,3638,10207,3696,43.2,3383,9454,秋田県,172200,152800,140100,427,613,9680,7905,8645,7695,7410,6545,26.11.1,19.10.1,26.11.1,都道府県
5,山形県,山形県,6,2015,20150401,18368,44.8,3688,10314,3993,44.3,3476,9869,山形県,178400,158500,145500,620,1736,9090,7884,8670,7740,7460,6414,22.12.1,18.4.1,22.12.1,都道府県
6,福島県,福島県,7,2015,20150401,27230,44.3,3740,10459,6417,42.8,3350,9474,福島県,186000,165400,150800,1304,3281,10560,8755,9595,8550,7885,8010,27.4.1,26.1.1,27.4.1,都道府県
7,茨城県,茨城県,8,2015,20150401,34011,43.4,3598,10642,5863,42.8,3362,10157,茨城県,177600,157700,144300,1282,5114,10720,9180,9100,8000,7500,7826,26.4.1,25.4.1,21.4.1,都道府県
8,栃木県,栃木県,9,2015,20150401,24196,43.3,3607,10442,4743,43.4,3419,10216,栃木県,180800,157700,146500,1022,1137,10320,8585,9900,9000,8300,7560,21.4.1,26.4.1,21.4.1,都道府県
9,群馬県,群馬県,10,2015,20150401,24842,43.3,3644,10516,4682,43.7,3446,10132,群馬県,179300,159200,145400,891,3137,13100,10600,9800,9200,8300,9300,26.4.1,26.4.1,26.4.1,都道府県
10,埼玉県,埼玉県,11,2015,20150401,62964,42.0,3491,10539,8827,43.3,3352,10201,埼玉県,180800,160700,146500,3558,10867,14200,11340,11440,10160,9270,9370,18.4.1,18.4.1,18.4.1,都道府県
11,千葉県,千葉県,12,2015,20150401,62108,41.9,3469,10589,8712,42.3,3266,10200,千葉県,182800,162600,148200,3672,6981,13900,11100,11100,9700,8800,7570,26.4.1,26.4.1,27.4.1,都道府県
12,東京都,東京都,13,2015,20150401,167914,40.7,3263,10465,19553,41.6,3185,10326,東京都,181200,155100,143000,7056,11391,14550,11880,12700,11460,10210,11060,27.4.1,27.4.1,27.4.1,都道府県
13,神奈川県,神奈川県,14,2015,20150401,74010,41.3,3476,10630,9396,43.0,3394,10452,神奈川県,174200,154800,142100,4121,3892,14500,11600,12000,10800,9700,9200,7.12.1,7.12.1,27.4.1,都道府県
14,新潟県,新潟県,15,2015,20150401,33961,43.5,3622,10189,6345,43.2,3336,9593,新潟県,180800,160700,146500,1320,2913,12410,9710,9610,8410,7710,7990,27.1.1,27.1.1,27.1.1,都道府県
15,富山県,富山県,16,2015,20150401,15384,43.5,3567,10142,3395,44.3,3400,9886,富山県,180800,160700,146500,650,1615,11050,9180,9100,8600,7800,7650,20.4.1,20.4.1,23.4.1,都道府県
16,石川県,石川県,17,2015,20150401,15771,43.2,3514,10055,3540,42.1,3238,9399,石川県,174200,154800,142100,769,804,13000,10200,9100,8600,7800,8010,26.4.1,19.4.30,26.4.1,都道府県
17,福井県,福井県,18,2015,20150401,13436,43.0,3584,10329,3186,42.9,3351,9628,福井県,180800,157700,146500,520,551,11700,9180,9100,8600,7800,8010,15.8.1,26.4.1,15.8.1,都道府県
18,山梨県,山梨県,19,2015,20150401,14109,42.8,3527,10041,3430,43.2,3393,10092,山梨県,180800,160700,146500,1308,1385,12500,9600,9100,8200,7700,7347,23.10.1,23.12.1,23.10.1,都道府県
19,長野県,長野県,20,2015,20150401,26786,44.7,3610,10405,5623,45.5,3402,10067,長野県,183100,162700,148400,1352,3765,12780,9850,9850,8610,8040,8140,25.7.1,25.7.1,25.7.1,都道府県
20,岐阜県,岐阜県,21,2015,20150401,24253,42.6,3565,10152,4742,43.1,3340,9780,岐阜県,184300,163800,149300,1043,3391,13400,10600,10200,9200,8500,8500,26.4.1,26.4.1,27.4.1,都道府県
21,静岡県,静岡県,22,2015,20150401,38729,42.5,3639,10692,6578,42.5,3393,10198,静岡県,182372,162098,147774,1730,1744,12870,10510,10120,8940,8250,8150,23.12.1,23.12.1,27.4.1,都道府県
22,愛知県,愛知県,23,2015,20150401,71608,41.1,3504,10666,9481,42.2,3305,10297,愛知県,181400,161200,147000,3498,5803,10832,9657,11486,10108,9282,8268,27.4.1,26.4.1,27.4.1,都道府県
23,三重県,三重県,24,2015,20150401,23277,43.2,3586,10571,4832,43.8,3453,10455,三重県,180800,160700,146500,1068,3627,8960,10100,10200,9000,8300,7490,26.4.1,26.4.1,26.4.1,都道府県
24,滋賀県,滋賀県,25,2015,20150401,18426,42.4,3545,10710,3312,43.1,3367,10416,滋賀県,180800,160700,146500,905,930,13200,10400,8320,7200,6720,8500,27.4.1,23.7.1,27.4.1,都道府県
