,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
0,札幌市,北海道,1,2015,20150401,14400,42.3,3077,8802,6374,41.0,3042,8715,札幌市,174200,156700,142800,690,650,12800,10300,10400,9500,8600,8300,4.12.1,4.12.1,13.4.1,政令指定都市
1,仙台市,宮城県,4,2015,20150401,9519,42.9,3338,9435,3437,43.0,3373,9518,仙台市,181200,158900,144600,462,526,10480,8670,9500,8600,8100,7678,23.5.1,24.4.1,27.4.1,政令指定都市
2,さいたま市,埼玉県,11,2015,20150401,9056,40.6,3229,9766,3833,40.2,3211,9705,さいたま市,179000,−,145500,455,935,12430,9770,9770,8730,8070,8140,26.4.1,25.4.1,26.4.1,政令指定都市
3,千葉市,千葉県,12,2015,20150401,7370,40.5,3116,9723,3142,41.8,3224,10078,千葉市,178100,158200,144300,450,464,9520,8640,9300,8400,7700,6300,27.4.1,27.4.1,27.4.1,政令指定都市
4,横浜市,神奈川県,14,2015,20150401,27435,42.4,3326,11056,10897,41.0,3297,11206,横浜市,177700,161300,149700,720,1229,14280,11480,11790,10610,9530,8400,23.4.1,23.4.1,27.4.1,政令指定都市
5,川崎市,神奈川県,14,2015,20150401,13188,42.3,3301,10296,4904,41.1,3317,10502,川崎市,179600,−,144500,574,595,12500,9900,10300,9200,8300,5354,19.4.1,19.4.1,27.4.1,政令指定都市
6,相模原市,神奈川県,14,2015,20150401,4699,41.5,3175,9941,2581,41.3,3201,10123,相模原市,178800,−,144500,267,208,10620,8700,7790,7130,6700,7480,23.7.1,9.4.1,23.7.1,政令指定都市
7,新潟市,新潟県,15,2015,20150401,7353,41.5,3235,9353,2913,42.3,3264,9527,新潟市,181000,160900,146700,392,467,11630,9390,7780,7000,6530,8170,18.4.1,18.4.1,23.4.1,政令指定都市
8,静岡市,静岡県,22,2015,20150401,6247,40.7,3320,9857,2409,41.6,3373,10181,静岡市,174600,155000,141500,363,378,10000,9400,8240,7350,6630,8120,26.4.1,26.4.1,26.4.1,政令指定都市
9,浜松市,静岡県,22,2015,20150401,5404,41.5,3200,9340,2631,42.8,3281,9700,浜松市,180800,160700,146500,220,297,12770,9280,8030,7170,6480,7370,19.4.1,15.1.1,23.12.1,政令指定都市
10,名古屋市,愛知県,23,2015,20150401,25248,42.1,3247,9799,7729,41.1,3297,9913,名古屋市,174400,154000,144800,1012,1015,4300,9200,5000,5000,5000,6291,27.4.1,23.5.1,27.4.1,政令指定都市
11,京都市,京都府,26,2015,20150401,13664,43.8,3351,10667,5577,42.9,3408,10332,京都市,181200,−,147400,491,919,11120,9680,10080,9270,8640,5791,24.4.1,23.4.1,27.4.1,政令指定都市
12,大阪市,大阪府,27,2015,20150401,32183,44.3,3091,10448,9531,43.0,3203,10696,大阪市,163510,150804,141052,1401,4351,8200,9700,9600,8480,7760,5491,24.4.1,23.4.1,27.4.1,政令指定都市
13,堺市,大阪府,27,2015,20150401,5447,42.3,3256,9764,2908,42.8,3290,9908,堺市,182000,164700,152900,392,472,9520,8910,9025,8075,7410,7534,27.4.1,25.7.1,27.4.1,政令指定都市
14,神戸市,兵庫県,28,2015,20150401,14619,43.6,3361,10566,5887,42.3,3326,10547,神戸市,181200,159900,148900,476,682,11280,9435,11400,10400,9300,8300,15.4.1,18.4.1,27.4.1,政令指定都市
15,岡山市,岡山県,33,2015,20150401,5316,42.5,3361,9752,2568,45.1,3550,10428,岡山市,180600,157500,146300,205,199,11600,9200,8000,7300,6700,5969,21.8.1,23.10.1,21.8.1,政令指定都市
16,広島市,広島県,34,2015,20150401,9584,42.5,3324,11016,4312,43.8,3456,11599,広島市,174800,153000,142500,494,415,13100,10500,10070,8835,8170,7900,8.1.1,24.8.1,13.4.1,政令指定都市
17,北九州市,福岡県,40,2015,20150401,8304,43.7,3530,10221,4045,44.4,3629,10560,北九州市,180600,162200,148000,310,394,12300,9800,10900,9800,8800,6500,27.4.1,6.4.1,27.4.1,政令指定都市
18,福岡市,福岡県,40,2015,20150401,9560,41.3,3257,9963,5166,40.2,3245,9867,福岡市,174000,153600,140300,477,471,13000,10400,10600,9700,8800,8500,26.12.7,26.4.1,26.4.1,政令指定都市
19,熊本市,熊本県,43,2015,20150401,6431,42.8,3320,9593,2890,42.5,3308,9515,熊本市,181300,−,147000,264,307,11860,9440,8180,7440,6740,7030,27.4.1,27.4.1,27.4.1,政令指定都市
20,函館市,北海道,1,2015,20150401,3384,41.8,3165,8665,1253,43.3,3231,8782,函館市,174200,154800,142100,211,201,10500,8300,6300,5600,5100,7400,27.4.1,9.1.1,27.4.1,中核市
21,小樽市,北海道,1,2015,20150401,1663,42.5,3196,8733,603,42.9,3168,8852,小樽市,174200,154800,142100,98,90,8356,7207,5073,4579,4190,6246,26.4.1,17.10.1,26.4.1,Ⅲ−３
22,旭川市,北海道,1,2015,20150401,2995,40.8,3151,8955,1520,41.9,3127,8906,旭川市,174200,154800,142100,181,160,8610,7872,6250,5550,5150,6461,21.12.1,7.1.1,21.12.1,中核市
23,室蘭市,北海道,1,2015,20150401,1178,39.3,3033,8702,347,41.3,3058,8983,室蘭市,174200,154800,142100,95,88,8550,7020,4800,4500,4150,5805,26.4.1,6.4.1,26.4.1,Ⅱ−３
24,釧路市,北海道,1,2015,20150401,2545,40.4,3059,8313,984,42.8,3094,8470,釧路市,174200,154800,142100,160,182,7762,6680,6000,5400,4900,5800,23.4.1,17.10.11,23.4.1,Ⅳ−１
25,帯広市,北海道,1,2015,20150401,1360,40.3,3040,8400,700,40.7,3106,8536,帯広市,174200,154800,142100,70,74,10050,8050,5800,5100,4700,6930,26.4.1,18.4.1,26.4.1,Ⅳ−１
26,北見市,北海道,1,2015,20150401,1004,40.9,3048,8433,720,41.3,3085,8581,北見市,174200,154800,142100,56,53,6790,6588,5000,4550,4300,5850,18.8.1,18.3.5,18.8.1,Ⅲ−１
27,夕張市,北海道,1,2015,20150401,146,42.2,2647,5576,88,43.0,2641,5627,夕張市,156000,138600,127200,9,5,2590,−,2300,2000,1800,2390,19.4.1,19.4.1,19.4.1,Ⅰ−１
28,岩見沢市,北海道,1,2015,20150401,1117,40.8,3267,8818,474,41.9,3187,8706,岩見沢市,174200,154800,142100,79,76,8380,6950,4700,4150,3840,5500,26.4.1,10.4.1,26.4.1,Ⅱ−１
29,網走市,北海道,1,2015,20150401,354,41.3,3066,8455,248,40.5,3037,8347,網走市,172210,152943,140395,9,14,7600,6840,4710,4150,3800,6118,26.12.1,7.4.1,26.12.1,Ⅰ−１
30,留萌市,北海道,1,2015,20150401,497,41.2,2990,7937,163,44.1,3001,7869,留萌市,170716,151704,139258,37,54,6300,5760,3485,3060,2805,4960,17.12.1,21.4.1,26.4.1,Ⅰ−３
31,苫小牧市,北海道,1,2015,20150401,1814,39.4,3051,9632,673,39.8,2931,9609,苫小牧市,174200,154800,142100,134,128,9114,7440,5200,4800,4400,6324,27.4.1,5.12.1,27.4.1,Ⅳ−１
32,稚内市,北海道,1,2015,20150401,706,38.9,3088,8498,258,40.8,3026,8563,稚内市,174200,154800,142100,70,74,7783,6524,3845,3487,3187,5537,25.10.1,26.4.1,25.10.1,Ⅰ−１
33,美唄市,北海道,1,2015,20150401,413,43.9,3055,6387,229,43.8,3042,6176,美唄市,174200,154800,142100,22,17,6300,5790,4090,3510,3230,5110,21.4.1,6.4.1,21.4.1,Ⅰ−１
34,芦別市,北海道,1,2015,20150401,362,45.1,3362,8690,172,44.9,3358,8757,芦別市,174200,154800,142100,7,23,7920,6460,3850,3360,3150,5840,26.4.1,26.4.1,26.4.1,Ⅰ−１
35,江別市,北海道,1,2015,20150401,1156,40.6,3108,8627,449,40.3,3030,8612,江別市,174200,154800,142100,81,58,8930,7220,4560,4070,3780,6180,16.4.1,16.4.1,16.4.1,Ⅲ−１
36,赤平市,北海道,1,2015,20150401,262,43.9,3429,8698,125,43.6,3325,8523,赤平市,174200,154800,142100,13,9,7740,6310,3090,2660,2460,5430,26.4.1,26.4.1,26.4.1,Ⅰ−３
37,紋別市,北海道,1,2015,20150401,298,41.1,3014,8459,228,40.7,2995,8456,紋別市,174200,154800,142100,17,12,8500,6780,4400,4000,3600,5700,27.4.1,6.12.1,27.4.1,Ⅰ−１
38,士別市,北海道,1,2015,20150401,514,39.3,3098,8195,247,39.6,2994,8023,士別市,174200,154800,142100,28,26,7524,6453,3800,3340,3100,5596,25.11.1,26.5.1,25.11.1,Ⅰ−１
39,名寄市,北海道,1,2015,20150401,840,40.3,3431,9125,284,39.9,3123,8572,名寄市,174200,154800,142100,80,72,6896,6210,3840,3360,3100,5719,18.7.1,18.3.27,18.7.1,Ⅰ−１
40,三笠市,北海道,1,2015,20150401,310,42.1,3174,8562,123,41.3,3090,8343,三笠市,174200,154800,142100,25,30,8300,6750,3400,2950,2700,5750,26.4.1,6.4.1,26.4.1,Ⅰ−１
41,根室市,北海道,1,2015,20150401,533,41.9,3263,9351,201,41.2,3151,9175,根室市,174200,154800,142100,29,39,9000,7200,4050,3400,3150,6350,17.4.1,17.4.1,17.4.1,Ⅰ−１
42,千歳市,北海道,1,2015,20150401,993,41.4,3238,8893,461,42.5,3227,9101,千歳市,174200,154800,142100,53,63,8550,6935,4600,4200,3850,5985,26.4.1,17.4.1,26.4.1,Ⅱ−１
43,滝川市,北海道,1,2015,20150401,717,40.7,3395,9608,274,42.4,3242,9392,滝川市,174200,154800,142100,63,64,9100,7250,4300,3600,3300,6350,27.4.1,26.10.1,27.4.1,Ⅰ−１
44,砂川市,北海道,1,2015,20150401,874,36.8,3156,8774,148,41.1,3143,9129,砂川市,174200,151800,142100,79,73,7990,6410,3940,3480,3180,5610,27.4.1,19.5.1,27.4.1,Ⅰ−１
45,歌志内市,北海道,1,2015,20150401,128,45.8,3402,9287,65,45.8,3367,9395,歌志内市,174200,154800,142100,10,3,7050,6070,2980,2650,2430,5580,27.4.1,27.4.1,27.4.1,Ⅰ−３
46,深川市,北海道,1,2015,20150401,502,41.6,3317,8580,215,43.6,3248,8432,深川市,174200,154800,142100,33,30,8320,6840,3760,3370,3170,6060,27.4.1,27.4.1,27.4.1,Ⅰ−１
47,富良野市,北海道,1,2015,20150401,278,44.9,3485,9870,199,44.6,3466,10004,富良野市,174200,151800,142100,7,11,8120,6630,3820,3370,3100,5760,16.4.1,9.6.1,16.4.1,Ⅰ−１
48,登別市,北海道,1,2015,20150401,434,40.1,2933,8381,248,39.8,2944,8499,登別市,174200,154800,142100,12,24,8700,7000,4000,3500,3200,6000,24.9.1,6.4.1,24.9.1,Ⅱ−３
