name_kanji,name_kana,age,gen,status,job,circle,win,n_votes
佐々木 つかさ,ササキ ツカサ,60,男,現職,小樽市議会議員,立憲民主党,True,2546
中村 よしひろ,ナカムラ ヨシヒロ,46,男,現職,小樽市議会議員,自由民主党,True,2546
ちば 美幸,チバ ミユキ,56,女,現職,小樽市議会議員,公明党,True,2546
高野 さくら,タカノ サクラ,32,女,現職,政党役員,日本共産党,True,2546
よこお 英司,ヨコオ エイジ,43,男,新人,無職,公明党,True,2546
鈴木 よしあき,スズキ ヨシアキ,60,男,現職,小樽市議会議員,自由民主党,True,2546
丸山 晴美,マルヤマ ハルミ,49,女,新人,団体職員,日本共産党,True,2546
高橋 かつゆき,タカハシ カツユキ,62,男,現職,小樽市議会議員,公明党,True,2546
酒井 たかひろ,サカイ タカヒロ,44,男,現職,小樽市議会議員,日本共産党,True,2546
松田 ゆう子,マツダ ユウコ,65,女,現職,小樽市議会議員,公明党,True,2546
中村 せいご,ナカムラ セイゴ,61,男,現職,小樽市議会議員,立憲民主党,True,2546
秋元 とものり,アキモト トモノリ,52,男,現職,小樽市議会議員,公明党,True,2546
高橋 りゅう,タカハシ リュウ,36,男,現職,小樽市議会議員,立憲民主党,True,2546
松岩 かずき,マツイワ カズキ,25,男,新人,無職,自由民主党,True,2546
すがい 修行,スガイ ノブユキ,57,男,新人,（株）小樽スロウスタイル代表取締役,自由民主党,True,2546
はまもと 進,ハマモト ススム,63,男,現職,小樽市議会議員,自由民主党,True,2546
前田 きよたか,マエダ キヨタカ,67,男,現職,小樽市議会議員,自由民主党,True,2546
林下 かずよし,ハヤシシタ カズヨシ,70,男,現職,小樽市議会議員,立憲民主党,True,2546
高木 のりかず,タカギ ノリカズ,42,男,新人,（株）タカギエンジニア代表取締役,自由民主党,True,2546
中村 いわお,ナカムラ イワオ,68,男,現職,小樽市議会議員,無所属,True,2546
川畑 正美,カワバタ マサミ,72,男,現職,小樽市議会議員,日本共産党,True,2546
小池 じろう,コイケ ジロウ,36,男,新人,無職,無所属,True,2546
おぬき 元,オヌキ ハジメ,41,男,現職,小樽市議会議員,日本共産党,True,2546
おもの 大輔,オモノ ダイスケ,38,男,現職,小樽市議会議員,無所属,True,2546
山田 まさとし,ヤマダ マサトシ,63,男,現職,（株）山田産業代表取締役社長,自由民主党,True,2546
すがわら 康晃,スガワラ ヤステル,50,男,新人,（有）スタックス代表取締役,無所属,False,2546
石田 博一,イシダ ヒロカズ,64,男,現職,小樽市議会議員,無所属,False,2546
竹田 むねひろ,タケダ ムネヒロ,54,男,新人,アベルネット代表,無所属,False,2546
いわた 正義,イワタ マサヨシ,77,男,新人,金融業,無所属,False,2546
name_kanji,name_kana,age,gen,status,job,circle,win,n_votes
佐々木 つかさ,ササキ ツカサ,60,男,現職,小樽市議会議員,立憲民主党,True,2546
中村 よしひろ,ナカムラ ヨシヒロ,46,男,現職,小樽市議会議員,自由民主党,True,2546
ちば 美幸,チバ ミユキ,56,女,現職,小樽市議会議員,公明党,True,2546
高野 さくら,タカノ サクラ,32,女,現職,政党役員,日本共産党,True,2546
よこお 英司,ヨコオ エイジ,43,男,新人,無職,公明党,True,2546
鈴木 よしあき,スズキ ヨシアキ,60,男,現職,小樽市議会議員,自由民主党,True,2546
丸山 晴美,マルヤマ ハルミ,49,女,新人,団体職員,日本共産党,True,2546
高橋 かつゆき,タカハシ カツユキ,62,男,現職,小樽市議会議員,公明党,True,2546
酒井 たかひろ,サカイ タカヒロ,44,男,現職,小樽市議会議員,日本共産党,True,2546
松田 ゆう子,マツダ ユウコ,65,女,現職,小樽市議会議員,公明党,True,2546
中村 せいご,ナカムラ セイゴ,61,男,現職,小樽市議会議員,立憲民主党,True,2546
秋元 とものり,アキモト トモノリ,52,男,現職,小樽市議会議員,公明党,True,2546
高橋 りゅう,タカハシ リュウ,36,男,現職,小樽市議会議員,立憲民主党,True,2546
松岩 かずき,マツイワ カズキ,25,男,新人,無職,自由民主党,True,2546
すがい 修行,スガイ ノブユキ,57,男,新人,（株）小樽スロウスタイル代表取締役,自由民主党,True,2546
はまもと 進,ハマモト ススム,63,男,現職,小樽市議会議員,自由民主党,True,2546
前田 きよたか,マエダ キヨタカ,67,男,現職,小樽市議会議員,自由民主党,True,2546
林下 かずよし,ハヤシシタ カズヨシ,70,男,現職,小樽市議会議員,立憲民主党,True,2546
高木 のりかず,タカギ ノリカズ,42,男,新人,（株）タカギエンジニア代表取締役,自由民主党,True,2546
中村 いわお,ナカムラ イワオ,68,男,現職,小樽市議会議員,無所属,True,2546
川畑 正美,カワバタ マサミ,72,男,現職,小樽市議会議員,日本共産党,True,2546
小池 じろう,コイケ ジロウ,36,男,新人,無職,無所属,True,2546
おぬき 元,オヌキ ハジメ,41,男,現職,小樽市議会議員,日本共産党,True,2546
おもの 大輔,オモノ ダイスケ,38,男,現職,小樽市議会議員,無所属,True,2546
山田 まさとし,ヤマダ マサトシ,63,男,現職,（株）山田産業代表取締役社長,自由民主党,True,2546
すがわら 康晃,スガワラ ヤステル,50,男,新人,（有）スタックス代表取締役,無所属,False,2546
石田 博一,イシダ ヒロカズ,64,男,現職,小樽市議会議員,無所属,False,2546
竹田 むねひろ,タケダ ムネヒロ,54,男,新人,アベルネット代表,無所属,False,2546
いわた 正義,イワタ マサヨシ,77,男,新人,金融業,無所属,False,2546
